name,KN,01,02,03,04,05,06,07,08,09,10,11,12,UE,US,Total,academicyear,
Academies of the Antelope Valley,0,0,0,0,0,0,0,1,5,0,1,1,0,0,0,8,2020-21,
Antelope Valley High,0,0,0,0,0,0,0,0,0,22,15,7,17,0,0,61,2020-21,
Desert Sands Charter,0,0,0,0,0,0,0,0,2,13,16,4,5,0,0,40,2020-21,
Desert Winds Continuation High,0,0,0,0,0,0,0,0,0,2,12,13,22,0,0,49,2020-21,
Eastside High,0,0,0,0,0,0,0,0,0,26,30,22,20,0,0,98,2020-21,
Highland High,0,0,0,0,0,0,0,0,1,20,21,15,17,0,0,74,2020-21,
Lancaster High,0,0,0,0,0,0,0,0,0,23,19,16,15,0,0,73,2020-21,
Littlerock High,0,0,0,0,0,0,0,0,0,12,5,9,10,0,0,36,2020-21,
Nonpublic; Nonsectarian Schools,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4,2020-21,
Palmdale High,0,0,0,0,0,0,0,0,0,18,20,19,14,0,0,71,2020-21,
Phoenix High Community Day,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,5,2020-21,
Quartz Hill High,0,0,0,0,0,0,0,0,0,18,14,4,8,0,0,44,2020-21,
R. Rex Parris High,0,0,0,0,0,0,0,0,0,0,1,6,13,0,0,20,2020-21,
SOAR High (Students On Academic Rise),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2020-21,
William J. (Pete) Knight High,0,0,0,0,0,0,0,0,0,25,18,9,14,0,0,66,2020-21,
